,Title,Website
0,Aachener Printen- und Schokoladenfabrik Henry Lambertz GmbH & Co.KG,www.lambertz.de
1,Alfred Ritter GmbH & Co. KG,www.ritter-sport.de
2,Argenta Schokoladenmanufaktur GmbH,www.argenta-schoko.com
3,Bäckerei Drouven GmbH & Co. KG,www.drouven-printen.de
4,Baur Chocolat GmbH & Co. KG,www.baur-chocolat.com
5,BeautySweeties GmbH,www.beautysweeties.com
6,Bodeta Süßwaren GmbH,www.bodeta.de
7,Boettger Food Ingredients GmbH,www.boettger1904.com
8,Brandt Zwieback-Schokoladen GmbH + Co. KG,www.brandt-zwieback.de
9,Cargill Cocoa & Chocolate GmbH Cargill GmbH,www.cargill.de
10,Cavendish & Harvey Confectionery GmbH,www.cavendish-harvey.de
11,Chr. Storz GmbH & Co. KG,www.storz-schokolade.de
12,Confiserie Burg Lauenstein GmbH,www.lauensteiner.de
13,Confiserie Heidel,www.heidel.com
14,Conrad Schulte GmbH & Co. KG Feingebäckfabrik,www.schulte-feingebaeck.de
15,Continental Bakeries Deutschland GmbH,www.continentalbakeries.com
16,Coppenrath Feingebäck GmbH,www.coppenrath-feingebaeck.de
17,Delitzscher Schokoladenfabrik GmbH,www.delitzscher.de
18,Dextro Energy GmbH & Co. KG,www.dextro-energy.com
19,Dietrich Borggreve KG Zwieback- und Keksfabrik,www.borggreve-kekse.de
20,DMK Eis GmbH,www.dmk-eis.de
21,Dr. Klaus Karg KG,www.dr-karg.com
22,Eco Terra GmbH,www.eco-terra.de
23,Eichetti Confect Spezialitäten A. Eichelmann GmbH & Co. KG,www.eichetti.de
24,Erasmi & Carstens GmbH,www.carstens-marzipan.de
25,FARÜCHOC Schokoladenfabrik GmbH & Co. KG,www.faruechoc.de
26,FDF Flensburger Dragee-Fabrik GmbH & Co. KG,www.agilus-dragees.de
27,Fr. Kaiser GmbH,www.kaiser-candy.de
28,Frankonia Schokoladenwerke GmbH,www.schoko-frankonia.de
29,Frusano Europe GmbH,www.frusano.com
30,Gebr. Jancke GmbH,www.jancke.de
31,Georg Lemke GmbH & Co. KG,www.lemke.de
32,Girrbach Süßwarendekor GmbH,www.girrbach-dekorwelt.de
33,Gottfried Wicklein GmbH & Co. KG Nürnberger Lebkuchen und Gebäckspezialitäten,www.wicklein.de
34,Griesson - de Beukelaer GmbH & Co. KG,www.griesson-debeukelaer.de
35,Günthart & Co. KG,www.guenthart.com
36,H. Pickerd GmbH & Co. KG,www.pickerd.de
37,Hanina GmbH,www.starcake.de
38,Hanns G. Werner GmbH + Co. KG,www.werners.de
39,Hans Riegelein & Sohn GmbH & Co. KG,www.riegelein.de
40,Hanseatisches Chocoladen Kontor GmbH & Co. KG,www.hachez.de
41,Heinerle-Berggold Schokoladen GmbH,www.heinerle-berggold.de
42,hitschler International GmbH & Co. KG,www.hitschies.de
43,HNC Healthy Nutrition Company GmbH,www.hnc.de
44,Hoch GmbH Oblatenfabrik,"www.hoch-oblaten.de,"
45,HOSTA - Werk für Schokolade-Spezialitäten GmbH & Co. KG,www.hosta-group.com
46,HUOBER BREZEL GmbH & Co.,www.huoberbrezel.de
47,Intersnack Deutschland SE,www.intersnack.de
48,J. G. Niederegger GmbH & Co. KG,www.niederegger.de/en/
49,Johannes Lühders KG,www.luehders.com
50,Kalfany Süße Werbung GmbH & Co. KG,www.kalfany-suesse-werbung.de
51,Kambly Deutschland GmbH,www.kambly.de
52,Kathi Rainer Thiele GmbH,www.kathi.de
53,Katjes Fassin GmbH + Co. KG,www.katjes.de
54,KESSKO Kessler & Comp. GmbH & Co. KG,www.kessko.de
55,Klett Schokolade GmbH & Co. KG,www.klett-schoko.de
56,Kondima Engelhardt GmbH & Co. KG,www.kondima.de
57,Krüger GmbH & Co. KG,www.krueger-group.com
58,"Lebkuchen-Schmidt GmbH & Co. KG Nürnberger Lebkuchen, Gebäck und andere feine Spezialitäten",www.lebkuchen-schmidt.com
59,LEUPOLDT Lebkuchen-Manufaktur KG,www.leupoldt.de
60,Lorenz Snack-World Holding GmbH,www.lorenz-snackworld.de
61,Ludwig Schokolade GmbH & Co. KG,www.ludwig-schokolade.de
62,Ludwig Weinrich GmbH & Co. KG,www.weinrich-schokolade.de
63,Neukircher Zwieback GmbH,www.neukircher-zwieback.de
64,Odenwälder Marzipankonditorei GmbH,www.odenwaelder-marzipan.de
65,Pertzborn GmbH & Co.KG,www.pertzborn.de
66,Peter Kölln GmbH & Co. KGaA,www.koelln.com
67,Piasten GmbH,www.piasten.com
68,Pit Hoffmann GmbH & Co. KG,www.pit-suesswaren.de
69,Powermints GmbH,www.powermints.de
70,RAGOLDS GmbH,www.ragolds.com
71,Reber Spezialitäten Paul Reber GmbH & Co. KG,www.reber.com
72,Rübezahl Schokoladen GmbH,www.rk-schoko.de
73,Rüdesheimer-Confiserie-Pralinen RCP GmbH & Co. KG Asbach-Pralinen,www.asbach-pralinen.de
74,sanotact GmbH,www.sanotact.de
75,Schluckwerder GmbH,www.schluckwerder.de
76,Schoko-Dragee GmbH,www.schoko-dragee.de
77,Seeberger GmbH,www.seeberger.de
78,SOLDAN Holding + Bonbonspezialitäten GmbH,www.soldan.com/en
79,SPREEwaffel Berlin-Pankow GmbH,www.spreewaffel.de
80,Stenger Waffeln GmbH,www.stenger.eu
81,Süßwarenfabrik Rudolf Hoinkis GmbH Spezial-Dragee-Fabrik,www.hoinkis.de
82,Trolli GmbH,www.trolli.de
83,Ulmer Schokoladen GmbH & Co. KG,www.ulmer-schokoladen.de
84,Verdener Keks- und Waffelfabrik Hans Freitag GmbH & Co. KG,www.hans-freitag.de
85,Viba sweets GmbH,www.viba-sweets.de
86,W. u. H. Küchle GmbH & Co. KG,www.kuechle.de
87,WAWI-EURO GmbH,www.wawi-group.de
88,Weibler Confiserie Chocolaterie GmbH & Co. KG,www.confiserie-weibler.de
89,WHG Weißenfelser Handels-Gesellschaft mbH,www.whgmbh.de
90,Wikana Keks und Nahrungsmittel GmbH,www.wikana.de
91,Wilhelm Reuss GmbH & Co. KG Lebensmittelwerk,www.wilhelmreuss.de
92,Windel GmbH & Co. KG,www.windel-candy.com
93,Wisefood GmbH,www.wisefood.eu
94,XOX Gebäck GmbH,www.xox.de
95,Zentis Süßwaren GmbH & Co. KG,www.zentis.de
