,Title,Website
95,Hans Riegelein & Sohn GmbH & Co. KG,http://www.riegelein.de
96,Hanseatische Zuckerraffinerie GmbH & Co.,http://www.hellmi.eu
97,Hanseatisches Chocoladen Kontor GmbH & Co. KG,http://www.hachez.de
98,HARIBO GmbH & Co. KG,http://www.haribo.com
99,HARIBO Grafschaft Produktions GmbH,http://www.haribo.com
100,HARIBO IT Dienstleistungs GmbH & Co. KG,http://www.haribo.com
101,HARIBO Produktions GmbH & Co. KG,http://www.haribo.com
102,HARIBO Service GmbH,http://www.haribo.com
103,Heidekeks GmbH,http://www.heidekeks.de
104,Heinerle-Berggold Schokoladen GmbH,http://www.heinerle-berggold.de
105,Heinrich Schulze GmbH,http://www.von-ravensberg.de
106,Helmut Löser GmbH & Co. KG Waffelfabrik,http://www.waffel-loeser.de
107,hitschler International GmbH & Co. KG,http://www.hitschies.de
108,Hoch GmbH Oblatenfabrik,"http://www.hoch-oblaten.de,"
109,HOSTA - Werk für Schokolade-Spezialitäten GmbH & Co. KG,http://www.hosta-group.com
110,Intersnack Deutschland SE,http://www.intersnack.de
111,JAHNKE SÜSSWAREN GmbH,http://www.jahnke-suesswaren.de
112,Johannes Heinr. Martens GmbH & Co. KG,http://www.martens-backbedarf.de
113,Josef Jansen GmbH & Co. KG,http://www.jansen-aromen.de
114,Josef Manner & Comp. AG Zweigniederlassung Deutschland,http://www.manner.com
115,Kalfany Süße Werbung GmbH & Co. KG,http://www.kalfany-suesse-werbung.de
116,Kambly Deutschland GmbH,http://www.kambly.de
117,Kathi Rainer Thiele GmbH,http://www.kathi.de
118,Katjes Bonbon GmbH & Co. KG,http://www.katjes.de
119,Katjes Fassin GmbH + Co. KG,http://www.katjes.de
120,KESSKO Kessler & Comp. GmbH & Co. KG,http://www.kessko.de
121,Klett Schokolade GmbH & Co. KG,http://www.klett-schoko.de
122,Koenig Backmittel GmbH & Co. KG,http://www.koenig-backmittel.de
123,Kondima Engelhardt GmbH & Co. KG,http://www.kondima.de
124,Kreutzkamm GmbH,http://www.kreutzkamm.de
125,Krüger GmbH & Co. KG,http://www.krueger-group.com
126,Küfa-Werk GmbH & Co. KG Zuckerwarenfabrik,http://www.kuefa-bonbons.de
127,Läderach (Deutschland) GmbH,http://www.laederach.com
128,Lanwehr GmbH Confiserie - Manufaktur,http://www.lanwehr.eu
129,"Lebkuchen-Schmidt GmbH & Co. KG Nürnberger Lebkuchen, Gebäck und andere feine Spezialitäten",http://www.lebkuchen-schmidt.com
130,LEUPOLDT Lebkuchen-Manufaktur KG,http://www.leupoldt.de
131,Loacker Deutschland GmbH,http://www.loacker.com
132,Lorenz Snack-World Holding GmbH,http://www.lorenz-snackworld.de
133,Ludwig Schokolade GmbH & Co. KG,http://www.ludwig-schokolade.de
134,Ludwig Weinrich GmbH & Co. KG,http://www.weinrich-schokolade.de
135,Lübecker Marzipan-Fabrik v. Minden & Bruhns GmbH & Co. KG,http://www.lubeca-marzipan.de
136,Lumen GmbH Nährmittel- und Maschinenfabrik,http://www.lumen.de
137,Mars GmbH,http://www.mars.de
138,Martin Bauer GmbH & Co. KG,http://www.martin-bauer.com
139,Martin Braun Backmittel und Essenzen KG,http://www.martinbraun.de
140,Max Kiene GmbH,http://www.maxkiene.de
141,Max Weiss Lebkuchenfabrik Neu Ulm GmbH,http://www.weiss-lebkuchen.de
142,MAYKA Naturbackwaren GmbH,http://www.mayka.de
143,Meybona-Schokoladenfabrik Meyerkamp GmbH & Co. KG,http://www.meybona.de
144,Moll Marzipan GmbH,http://www.moll-marzipan.de
145,Mondelez Deutschland GmbH,http://www.mondelezinternational.de
146,Nappo & Moritz GmbH,http://www.nappo.de
147,Nestlé Deutschland AG Chocoladen-Werk Hamburg,http://www.nestle.de
148,Nestlé Kaffee & Schokoladen GmbH,http://www.nestle.de
149,Neukircher Zwieback GmbH,http://www.neukircher-zwieback.de
150,Nöll & Co. GmbH,http://www.noell-bueren.de
151,Nordzucker AG,http://www.nordzucker.com
152,Nutfields GmbH,http://www.nutfields.com
153,Odenwälder Marzipankonditorei GmbH,http://www.odenwaelder-marzipan.de
154,Oterra GmbH,http://www.oterra.com
155,Pahna Lebkuchen GmbH,http://www.pahna.de
156,Paul Arauner GmbH & Co. KG Lebensmittel- und Genußmittelfabrik,http://www.arauner.de
157,PepsiCo Deutschland GmbH,http://www.pepsi.com
158,Pertzborn GmbH & Co.KG,http://www.pertzborn.de
159,Peters GmbH,http://www.peters-pralinen.de
160,Pfeifer & Langen GmbH & Co. KG,http://www.pfeifer-langen.com
161,Piasten GmbH,http://www.piasten.com
162,Pit Hoffmann GmbH & Co. KG,http://www.pit-suesswaren.de
163,Powermints GmbH,http://www.powermints.de
164,Reber Spezialitäten Paul Reber GmbH & Co. KG,http://www.reber.com
165,Rübezahl Schokoladen GmbH,http://www.rk-schoko.de
166,Rüdesheimer-Confiserie-Pralinen RCP GmbH & Co. KG Asbach-Pralinen,http://www.asbach-pralinen.de
167,Sanbeam Gesunde Produkte GmbH,http://www.sanbeam.de
168,sanotact GmbH,http://www.sanotact.de
169,Schluckwerder GmbH,http://www.schluckwerder.de
170,SCHOKINAG-Schokolade-Industrie GmbH,http://www.schokinag.com
171,Schoko-Dragee GmbH,http://www.schoko-dragee.de
172,Schwartauer Werke GmbH & Co. KGaA,http://www.schwartauer-werke.de
173,Seeberger GmbH,http://www.seeberger.de
174,SOLDAN Holding + Bonbonspezialitäten GmbH,http://www.soldan.com/en
175,Solent GmbH & Co. KG,http://www.solent-schokolade.com
176,SPREEwaffel Berlin-Pankow GmbH,http://www.spreewaffel.de
177,St. Hubertus Dauerbackwaren-Vertrieb Georg Parlasca GmbH,http://www.parlasca-keks.de
178,Stenger Waffeln Gerwisch GmbH,http://www.stenger.eu
179,Stenger Waffeln GmbH,http://www.stenger.eu
180,Storck Deutschland KG,http://www.storck.com
181,STORCK SCHOKOLADEN KG,http://www.storck.com
182,SuCrest GmbH,http://www.sucrest.com
183,Südzucker AG,http://www.suedzucker.de
184,Süßwarenfabrik Rudolf Hoinkis GmbH Spezial-Dragee-Fabrik,http://www.hoinkis.de
185,Sulá GmbH,http://www.sula.de
186,Sweet Tec GmbH,http://www.sweet-tec.de
187,Symrise AG,http://www.symrise.com
188,Toffee Tec GmbH,http://www.toffee-tec.de
189,TOP SWEETS GmbH,http://www.top-sweets.com
190,tri d'Aix GmbH,http://www.tridaix.com
191,Trolli GmbH,http://www.trolli.de
192,TURM-Sahne GmbH,http://www.turm-sahne.de
